batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
alpha;6;30;ENZYMES;GIN;;3;0.705555538;0.004811248;0.002777775;7.71603E-06;0.8125;-0.106944462;970;0.13925235;970;2;5;32;31
alpha;6;34;ENZYMES;GIN;;3;0.752777835;0.019244991;0.011111101;0.000123457;0.802083313;-0.049305479;750;0.001245075;890;3;5;100;54
alpha;6;38;ENZYMES;GIN;;3;0.663888892;0.012729397;0.007349321;5.40125E-05;0.8125;-0.148611108;540;0.044159185;610;4;5;83;20
alpha;7;23;PROTEINS;GIN;;3;0.714499255;0.006849908;0.003954796;1.56404E-05;0.848314583;-0.133815328;610;0.233817488;790;0;5;72;63
alpha;7;27;PROTEINS;GIN;;3;0.745889425;0.01128523;0.006515531;4.24521E-05;0.820224702;-0.074335277;930;0.470165789;950;1;5;77;33
alpha;7;31;PROTEINS;GIN;;3;0.509715984;0.172300826;0.099477928;0.009895858;0.80898875;-0.299272766;560;0.477101415;590;2;5;58;13
alpha;7;35;PROTEINS;GIN;;3;0.771771769;0.025613715;0.014788085;0.000218687;0.837078631;-0.065306862;660;0.34835279;860;3;5;42;27
alpha;7;39;PROTEINS;GIN;;3;0.753753761;0.022672194;0.013089797;0.000171343;0.821229041;-0.067475279;510;0.522873878;500;4;5;100;23
alpha;8;24;IMDB-BINARY;GIN;;3;0.691666663;0.036855595;0.021278588;0.000452778;0.787500024;-0.095833361;600;0.620281855;410;0;5;78;2
alpha;8;28;IMDB-BINARY;GIN;;3;0.711666663;0.012583077;0.007264843;5.27779E-05;0.793749988;-0.082083325;390;0.54667269;200;1;5;86;39
alpha;8;32;IMDB-BINARY;GIN;;3;0.704999983;0.008660246;0.004999995;2.5E-05;0.787500024;-0.082500041;620;0.440722764;770;2;5;100;21
alpha;8;36;IMDB-BINARY;GIN;;3;0.718333344;0.002886783;0.001666685;2.77784E-06;0.78125;-0.062916656;630;0.480600417;690;3;5;93;86
alpha;8;40;IMDB-BINARY;GIN;;3;0.711666644;0.002886749;0.001666665;2.77777E-06;0.78125;-0.069583356;400;0.436340243;590;4;5;93;8
delta;1;1;MUTAG;GCN;emb_mixup;3;0.77192984;0.030386878;0.017543872;0.000307787;1;-0.22807016;590;0.487154573;640;0;5;30;29
delta;1;2;MUTAG;GCN;emb_mixup;3;0.77192984;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.194736799;290;0.338850826;220;1;5;30;29
delta;1;5;MUTAG;GCN;emb_mixup;3;0.745614032;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.221052607;460;0.471467495;470;2;5;30;0
delta;1;7;MUTAG;GCN;emb_mixup;3;0.864864886;0.027027011;0.015604052;0.000243486;0.933333397;-0.068468511;340;0.351454437;350;3;5;30;12
delta;1;10;MUTAG;GCN;emb_mixup;3;0.828828851;0.041284474;0.023835602;0.000568136;1;-0.171171149;450;0.331356674;580;4;5;30;8
delta;5;20;MUTAG;GCN;if_mixup;3;0.763157904;0.069625028;0.040198029;0.001615882;0.933333337;-0.170175433;620;0.429882973;680;0;5;30;0
delta;5;22;MUTAG;GCN;if_mixup;3;0.807017545;0.015193405;0.008771916;7.69465E-05;0.933333397;-0.126315852;330;0.422040999;310;1;5;30;4
delta;5;23;MUTAG;GCN;if_mixup;3;0.780701776;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.185964863;440;0.423691392;610;2;5;30;0
delta;5;24;MUTAG;GCN;if_mixup;3;0.882882893;0.031208104;0.018018007;0.000324649;1;-0.117117107;430;0.316372305;610;3;5;30;18
delta;5;25;MUTAG;GCN;if_mixup;3;0.837837855;0.027027041;0.015604069;0.000243487;1;-0.162162145;310;0.314348057;260;4;5;30;29
delta;7;36;MUTAG;GCN;submix;3;0.719298244;0.030386844;0.017543852;0.000307787;0.966666639;-0.247368395;520;0.454331174;420;0;5;30;24
delta;7;42;MUTAG;GCN;submix;3;0.789473712;0;0;0;0.933333397;-0.143859684;250;0.322655529;240;1;5;30;4
delta;7;51;MUTAG;GCN;submix;3;0.763157904;0;0;0;0.966666639;-0.203508735;450;0.440507993;400;2;5;30;12
delta;7;58;MUTAG;GCN;submix;3;0.9009009;0.031208104;0.018018007;0.000324649;0.933333397;-0.032432497;240;0.323882842;210;3;5;30;17
